word,prob
about,0.002549
after,0.023898
again,0.013936
allow,0.013099
apple,0.001949
brain,0.004762
break,0.004378
bring,0.001748
chair,0.005193
chase,0.003783
cheap,0.012811
check,0.005631
chief,0.008473
child,0.008352
china,0.000533
claim,0.008362
class,0.003396
clear,0.008299
click,0.003029
clock,0.003832
close,0.005772
court,0.01363
cover,0.013273
crash,0.00742
crime,0.001864
crown,0.00724
death,0.000643
draft,0.000128
dream,0.001518
earth,0.013612
entry,0.017808
error,0.004534
every,0.004096
field,0.000703
first,0.005649
focus,0.003468
frame,0.006552
fresh,0.002226
front,0.000367
glass,0.003058
grace,0.003504
grand,0.004484
grant,0.014999
grass,0.01026
great,0.029528
green,0.002295
group,0.036519
guard,0.004273
happy,0.021778
heart,0.000334
house,0.000541
image,0.000131
judge,0.005583
layer,0.007346
learn,0.00935
light,0.007822
local,0.00464
major,0.002312
match,0.000463
metal,0.000649
model,0.008398
month,0.000983
mouse,0.006679
music,0.000806
never,0.008569
night,0.003058
north,0.005429
ocean,0.000651
order,0.001537
other,0.005088
paint,0.000468
panel,0.005672
paper,0.00141
party,0.001489
peace,0.003359
phone,0.015324
place,0.003075
plant,0.008713
point,0.007736
power,0.005267
press,0.002878
price,0.000677
print,0.006024
proof,0.000223
queen,5e-05
quick,0.000225
quiet,0.003874
quite,0.008184
radio,0.01486
range,0.000903
reach,0.00338
right,0.015274
river,0.004632
rough,0.0163
round,0.013704
scale,0.000713
sense,0.00547
share,0.005276
sheet,0.001014
short,0.009872
sight,0.003542
skill,0.005412
sleep,0.014069
small,0.007518
smith,0.003316
sound,0.007595
space,0.004364
speed,0.005999
sport,0.000187
staff,0.006569
start,0.017192
state,2.2e-05
still,0.008776
stone,0.000571
store,0.001086
story,0.009282
study,0.004288
style,0.003297
table,0.008775
thank,0.009045
their,0.00446
there,0.011595
these,0.003237
thick,0.00354
thing,0.002303
think,0.000519
third,0.000296
three,0.012815
throw,0.004018
today,0.005019
total,0.0024
touch,0.008572
tower,0.002782
track,0.000935
train,0.010826
treat,0.00224
trick,0.007404
trust,0.010687
truth,0.004166
under,0.001501
union,0.003738
until,0.006624
upper,0.006057
value,0.012963
visit,0.01225
voice,0.003147
watch,0.003283
water,0.005213
wheel,0.011481
where,0.002183
which,0.00929
while,0.001426
white,0.001571
whole,0.013126
woman,0.002478
world,0.004578
worry,0.00166
worth,0.013936
would,0.006482
write,0.008166
wrong,0.009502
young,0.007543
youth,0.007457
